U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,model,wall,factor,key
6ETF,w2022,+gold,ElasticNet(a=0.01),6.0,3.0,0.5745627090211718,0.0917007026717648,-0.1703249249097241,0.538386866868535,0.5476190476190477,35.0,,0.9297184816600356,,-0.9134641848802102,,v3,ElasticNet,ElasticNet,w2022,+gold,6ETF|w2022|+gold|ElasticNet
6ETF,w22,+gold,Ridge,,,0.968395383759495,0.1903026125193272,-0.1753027170402762,,,,,,,,,ridge42,Ridge,Ridge,w2022,+gold,6ETF|w2022|+gold|Ridge
6ETF,w2022,+margin,ElasticNet(a=0.01),6.0,3.0,0.8992699795187602,0.1526102476595023,-0.1535389174792166,0.9939515672315458,0.6190476190476191,5.0,,1.0891589675018658,,-0.5921433920614255,,v3,ElasticNet,ElasticNet,w2022,+margin,6ETF|w2022|+margin|ElasticNet
6ETF,w22,+margin,Ridge,,,1.0470077769224622,0.1855388222829017,-0.1532044205019967,,,,,,,,,ridge42,Ridge,Ridge,w2022,+margin,6ETF|w2022|+margin|Ridge
6ETF,w2022,+shibor,ElasticNet(a=0.01),6.0,3.0,0.4554664729100888,0.0650621822782502,-0.1622517178748892,0.4009953369394773,0.5476190476190477,35.0,,0.8172885762829571,,-0.5072109991922791,,v3,ElasticNet,ElasticNet,w2022,+shibor,6ETF|w2022|+shibor|ElasticNet
6ETF,w22,+shibor,Ridge,,,0.9803155173320042,0.1953528915640867,-0.1898057377502808,,,,,,,,,ridge42,Ridge,Ridge,w2022,+shibor,6ETF|w2022|+shibor|Ridge
6ETF,w2022,base5,ElasticNet(a=0.01),6.0,5.0,0.3525862423373523,0.0465313414434436,-0.1752292221413592,0.2655455572695877,0.5238095238095238,42.0,,0.7632643493763245,,-0.9134641848802102,,v3,ElasticNet,ElasticNet,w2022,base5,6ETF|w2022|base5|ElasticNet
6ETF,w22,base5,Ridge,,,0.638429699416781,0.1019331336667765,-0.1801014802981952,,,,,,,,,ridge42,Ridge,Ridge,w2022,base5,6ETF|w2022|base5|Ridge
6ETF,w2022,pure2,ElasticNet(a=0.01),6.0,2.0,0.3798457466489754,0.0519189764614238,-0.1703249249097241,0.3048231284349135,0.5238095238095238,42.0,,0.8346013559267522,,-0.9134641848802102,,v3,ElasticNet,ElasticNet,w2022,pure2,6ETF|w2022|pure2|ElasticNet
6ETF,w22,pure2,Ridge,,,0.9179338734963844,0.1776837318118715,-0.1616817137752422,,,,,,,,,ridge42,Ridge,Ridge,w2022,pure2,6ETF|w2022|pure2|Ridge
8ETF,w2018,base5,ElasticNet(a=0.01),8.0,5.0,0.0583965385507721,-0.0040042722727385,-0.3872112902857569,-0.0103413107344661,0.4555555555555555,90.0,-1.1528408695372234,0.6135494523783451,-0.4984791204911643,-0.2618824976122703,1.5765127383874282,v3,ElasticNet,ElasticNet,w2018,base5,8ETF|w2018|base5|ElasticNet
8ETF,w18,base5,Ridge,,,0.1435678594016384,0.0098983626835778,-0.387475958590037,,,,,,,,,ridge42,Ridge,Ridge,w2018,base5,8ETF|w2018|base5|Ridge
