phase,path,suffix,size,modified
09_平台工程,quant-research-platform/docs/index.md,.md,418,2026-06-22 16:01:44
09_平台工程,quant-research-platform/docs/reproducibility.md,.md,731,2026-06-22 16:01:44
09_平台工程,quant-research-platform/docs/strategy-development.md,.md,426,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/__init__.py,.py,196,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/artifacts/__init__.py,.py,64,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/artifacts/writer.py,.py,684,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/backtest/__init__.py,.py,138,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/backtest/engine.py,.py,4992,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/data/__init__.py,.py,132,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/data/provider.py,.py,2165,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/metrics/__init__.py,.py,79,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/metrics/performance.py,.py,836,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/strategies/__init__.py,.py,198,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/strategies/protocol.py,.py,495,2026-06-22 16:01:44
09_平台工程,quant-research-platform/packages/quant_core/strategies/registry.py,.py,1568,2026-06-22 16:01:44
09_平台工程,quant-research-platform/strategies/examples/equal_weight/README.md,.md,220,2026-06-22 16:01:44
09_平台工程,quant-research-platform/strategies/examples/equal_weight/strategy.py,.py,249,2026-06-22 16:01:44
09_平台工程,quant-research-platform/tests/test_core.py,.py,2162,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/.github/pull_request_template.md,.md,384,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/NOTICE.md,.md,273,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/README.md,.md,1102,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/artifacts/README.md,.md,189,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/data/README.md,.md,394,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/data/snapshots/demo-cn-etf-synthetic-v1/market.csv,.csv,400321,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/design-qa.md,.md,2514,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/experiments/E001-example/README.md,.md,213,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/package.json,.json,280,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/scripts/create_demo_snapshot.py,.py,2418,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/scripts/promote_run.py,.py,1219,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/scripts/verify_artifacts.py,.py,764,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/ui-overview.png,.png,63223,2026-06-22 16:01:44
10_其他可审计文件,quant-research-platform/artifacts/promoted/E001/run-55b340e2531b/equity.csv,.csv,98178,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/artifacts/promoted/E001/run-55b340e2531b/result.json,.json,1024,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/artifacts/promoted/E001/run-55b340e2531b/trades.csv,.csv,329,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/artifacts/promoted/E001/run-55b340e2531b/weights.csv,.csv,303140,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/workspace/runs/run-55b340e2531b/equity.csv,.csv,98178,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/workspace/runs/run-55b340e2531b/result.json,.json,1024,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/workspace/runs/run-55b340e2531b/trades.csv,.csv,329,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/workspace/runs/run-55b340e2531b/weights.csv,.csv,303140,2026-06-22 16:02:01
10_其他可审计文件,quant-research-platform/artifacts/promoted/E001/run-55b340e2531b/promotion.json,.json,433,2026-06-22 16:02:15
10_其他可审计文件,quant-research-platform/workspace/runs/run-40470864b489/equity.csv,.csv,18884,2026-06-22 16:03:08
10_其他可审计文件,quant-research-platform/workspace/runs/run-40470864b489/result.json,.json,951,2026-06-22 16:03:08
10_其他可审计文件,quant-research-platform/workspace/runs/run-40470864b489/trades.csv,.csv,103,2026-06-22 16:03:08
10_其他可审计文件,quant-research-platform/workspace/runs/run-40470864b489/weights.csv,.csv,12986,2026-06-22 16:03:08
09_平台工程,quant-research-platform/apps/web/.vite/deps/package.json,.json,23,2026-06-22 16:03:34
09_平台工程,quant-research-platform/apps/web/.vite/deps/_metadata.json,.json,1162,2026-06-22 16:03:35
09_平台工程,quant-research-platform/apps/web/package-lock.json,.json,121427,2026-06-22 16:03:41
09_平台工程,quant-research-platform/apps/web/dist/index.html,.html,406,2026-06-22 16:04:04
08_课堂交付,quant-research-platform/projects/classroom-presentation/README.md,.md,1578,2026-06-22 16:35:58
08_课堂交付,quant-research-platform/projects/classroom-presentation/assets/README.md,.md,295,2026-06-22 16:35:58
08_课堂交付,quant-research-platform/projects/classroom-presentation/index.qmd,.qmd,17822,2026-06-22 16:48:45
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/README.md,.md,676,2026-06-22 16:50:55
10_其他可审计文件,mvp_cn/second_round_config.json,.json,815,2026-06-22 20:31:12
10_其他可审计文件,mvp_cn/tests/test_second_round_research.py,.py,5569,2026-06-22 20:31:12
10_其他可审计文件,mvp_cn/outputs/second_round/multi_origin_daily_returns.csv,.csv,196517,2026-06-22 20:32:06
10_其他可审计文件,mvp_cn/outputs/second_round/multi_origin_training_audit.csv,.csv,1092,2026-06-22 20:32:06
10_其他可审计文件,mvp_cn/outputs/second_round/multi_origin_validation.csv,.csv,3115,2026-06-22 20:32:06
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/multi_origin_daily_returns.csv,.csv,196517,2026-06-22 20:32:06
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/multi_origin_training_audit.csv,.csv,1092,2026-06-22 20:32:06
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/multi_origin_validation.csv,.csv,3115,2026-06-22 20:32:06
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/multi_origin_12m_equity.png,.png,230558,2026-06-22 20:32:07
10_其他可审计文件,mvp_cn/outputs/second_round/figures/multi_origin_12m_equity.png,.png,230558,2026-06-22 20:32:07
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/multi_origin_12m_equity.png,.png,230558,2026-06-22 20:32:07
10_其他可审计文件,mvp_cn/outputs/second_round/figures/multi_origin_full_tail_equity.png,.png,232295,2026-06-22 20:32:08
