U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,wall_norm,model_norm,factor_norm
6ETF,w2020,+gold,Ridge(a=10),6.0,3.0,0.7682098167190136,0.1499686385481713,-0.2492607023174047,0.6016537591120303,0.5970149253731343,56.0,-0.4389726460981475,0.5833862751305867,1.0588944285857924,0.5011313428570614,,v3,Ridge,2020,Ridge,+gold
6ETF,w2020,+margin,ElasticNet(a=0.01),6.0,3.0,0.4766836125995815,0.071747701276567,-0.2683782566189819,0.2673379810288716,0.5223880597014925,20.0,-0.5286660841171275,1.0891589675018674,-0.0987607404269198,-0.1564746041550203,,v3,ElasticNet,2020,ElasticNet,+margin
6ETF,w2020,+margin,Ridge(a=10),6.0,3.0,0.6846987829862721,0.1222472738486575,-0.2594224799644388,0.4712285298691732,0.6119402985074627,20.0,-0.6166600007200571,1.0891589675018618,0.7469842445041109,0.6086686404430649,,v3,Ridge,2020,Ridge,+margin
6ETF,w2020,+shibor,ElasticNet(a=0.01),6.0,3.0,0.2991593984593303,0.0378210572534511,-0.2645571591274114,0.1429598706691451,0.4925373134328358,56.0,-0.5081250106774174,0.8172885762829628,0.4129107937691641,-0.0736165394251258,,v3,ElasticNet,2020,ElasticNet,+shibor
6ETF,w2020,+shibor,Ridge(a=10),6.0,3.0,0.7141808683655857,0.1374330396642187,-0.3201200442972322,0.4293171955724579,0.5223880597014925,56.0,-0.5305214991057079,0.8441887367380666,0.8596733496939498,-0.0071612951431041,,v3,Ridge,2020,Ridge,+shibor
6ETF,w2020,base5,ElasticNet(a=0.01),6.0,5.0,0.0454072696277505,-0.0081049920178785,-0.3649786102664194,-0.0222067589439342,0.4626865671641791,66.0,-0.5488077647321938,0.7632643493763213,-0.4966186189257325,-0.460960073486681,,v3,ElasticNet,2020,ElasticNet,base5
6ETF,w2020,base5,Ridge(a=10),6.0,5.0,0.134968592531483,0.0077646463579525,-0.3933073249150191,0.0197419317314527,0.5373134328358209,66.0,-1.0483017479358911,0.968488491518404,-0.4837963107080839,-0.1441536436734592,,v3,Ridge,2020,Ridge,base5
6ETF,w2020,pure2,ElasticNet(a=0.01),6.0,2.0,0.2537498041246042,0.0296811554979286,-0.2764846408185681,0.1073519144139571,0.4776119402985074,66.0,-0.5077226248801086,0.8346013559267543,0.4129107937691641,-0.4609600734866745,,v3,ElasticNet,2020,ElasticNet,pure2
6ETF,w2020,pure2,Ridge(a=10),6.0,2.0,0.6825855718796523,0.1293481108910641,-0.2950914728549493,0.4383322555533298,0.5671641791044776,66.0,-0.7060035745309989,0.5496474682240138,1.0588944285857924,0.2465627150593843,,v3,Ridge,2020,Ridge,pure2
6ETF,w2022,+comm,ElasticNet(a=0.01),6.0,3.0,0.8644219659237972,0.1511315372208646,-0.1703249249097241,0.8873131005398506,0.5476190476190477,35.0,,0.8515635214693938,,-0.9134641848802102,,v3,ElasticNet,2022,ElasticNet,+comm
6ETF,w2022,+comm,Ridge(a=10),6.0,3.0,0.920883918083798,0.1788804928784597,-0.191452273831977,0.9343346479940448,0.5952380952380952,35.0,,0.5496474682240129,,-0.2060474189652113,,v3,Ridge,2022,Ridge,+comm
6ETF,w2022,+gold,ElasticNet(a=0.01),6.0,3.0,0.5745627090211718,0.0917007026717648,-0.1703249249097241,0.538386866868535,0.5476190476190477,35.0,,0.9297184816600356,,-0.9134641848802102,,v3,ElasticNet,2022,ElasticNet,+gold
6ETF,w2022,+gold,Ridge(a=10),6.0,3.0,0.968395383759495,0.1903026125193272,-0.1753027170402762,1.0855656759478791,0.6190476190476191,35.0,,0.5833862751305878,,0.0416330846855472,,v3,Ridge,2022,Ridge,+gold
